threshold,precision,recall,f1,accuracy,flagged,flag_rate,tp,fp,fn,tn,model,total_cost_pence,total_cost_gbp
0.55,0.5659722222222222,0.16448032290615539,0.254886630179828,0.842998352553542,288,0.04744645799011532,163,125,828,4954,lightgbm (cpu),14538100.2,145381.00199999998
0.56,0.5888888888888889,0.16044399596367306,0.2521808088818398,0.8446457990115321,270,0.044481054365733116,159,111,832,4968,lightgbm (cpu),14540312.6,145403.126
0.57,0.5873015873015873,0.14934409687184663,0.23813354786806115,0.8439868204283361,252,0.041515650741350905,148,104,843,4975,lightgbm (cpu),14577991.2,145779.91199999998
0.58,0.5892116182572614,0.1432896064581231,0.2305194805194805,0.8438220757825371,241,0.03970345963756178,142,99,849,4980,lightgbm (cpu),14597357.8,145973.578
0.59,0.5956521739130435,0.13824419778002017,0.2244062244062244,0.8439868204283361,230,0.03789126853377265,137,93,854,4986,lightgbm (cpu),14611657.8,146116.578
0.6,0.586046511627907,0.12714429868819374,0.208955223880597,0.842833607907743,215,0.03542009884678748,126,89,865,4990,lightgbm (cpu),14652345.4,146523.454
0.61,0.5870646766169154,0.11907164480322906,0.19798657718120805,0.8425041186161449,201,0.03311367380560132,118,83,873,4996,lightgbm (cpu),14678836.2,146788.362
0.62,0.59375,0.11503531786074672,0.19273034657650043,0.842668863261944,192,0.031630971993410216,114,78,877,5001,lightgbm (cpu),14690075.6,146900.756
0.63,0.5977653631284916,0.10797174571140263,0.1829059829059829,0.8425041186161449,179,0.029489291598023066,107,72,884,5007,lightgbm (cpu),14712502.8,147125.02800000002
0.64,0.6035502958579881,0.1029263370332997,0.17586206896551723,0.8425041186161449,169,0.027841845140032948,102,67,889,5012,lightgbm (cpu),14727805.8,147278.05800000002
0.65,0.5949367088607594,0.09485368314833502,0.16362053959965187,0.8416803953871499,158,0.026029654036243823,94,64,897,5015,lightgbm (cpu),14757305.6,147573.05599999998
0.66,0.5945945945945946,0.08879919273461151,0.15452151009657594,0.8413509060955519,148,0.02438220757825371,88,60,903,5019,lightgbm (cpu),14777675.2,147776.75199999998
0.67,0.6,0.08476286579212916,0.14854111405835543,0.8413509060955519,140,0.023064250411861616,84,56,907,5023,lightgbm (cpu),14789917.6,147899.176
0.68,0.6044776119402985,0.08173562058526741,0.144,0.8413509060955519,134,0.022075782537067545,81,53,910,5026,lightgbm (cpu),14799099.4,147990.994
0.69,0.6209677419354839,0.07769929364278506,0.13811659192825113,0.8416803953871499,124,0.02042833607907743,77,47,914,5032,lightgbm (cpu),14809335.8,148093.358
0.7,0.6173913043478261,0.07164480322906155,0.12839059674502712,0.8411861614497529,115,0.018945634266886325,71,44,920,5035,lightgbm (cpu),14830708.4,148307.084
0.71,0.6018518518518519,0.06559031281533804,0.11828935395814377,0.8403624382207578,108,0.017792421746293245,65,43,926,5036,lightgbm (cpu),14854087.0,148540.87
0.72,0.5959595959595959,0.05953582240161453,0.10825688073394496,0.8398682042833608,99,0.016309719934102143,59,40,932,5039,lightgbm (cpu),14875459.6,148754.596
0.73,0.5934065934065934,0.054490413723511606,0.09981515711645102,0.8395387149917628,91,0.014991762767710049,54,37,937,5042,lightgbm (cpu),14892768.6,148927.686
0.74,0.6046511627906976,0.05247225025227043,0.09656453110492108,0.8397034596375618,86,0.014168039538714991,52,34,939,5045,lightgbm (cpu),14897886.8,148978.86800000002
