threshold,precision,recall,f1,accuracy,flagged,flag_rate,tp,fp,fn,tn,model,total_cost_pence,total_cost_gbp
0.3,0.4172972972972973,0.3895055499495459,0.40292275574112735,0.8115321252059308,925,0.15238879736408567,386,539,605,4540,lightgbm (cpu),14047159.4,140471.594
0.31,0.42393736017897093,0.38244197780020184,0.40212201591511937,0.814332784184514,894,0.1472817133443163,379,515,612,4564,lightgbm (cpu),14051532.6,140515.326
0.32,0.43109540636042404,0.3693239152371342,0.3978260869565217,0.8174629324546953,849,0.1398682042833608,366,483,625,4596,lightgbm (cpu),14072263.4,140722.634
0.33,0.435,0.3511604439959637,0.38860971524288107,0.8196046128500823,800,0.13179571663920922,348,452,643,4627,lightgbm (cpu),14114315.2,141143.152
0.34,0.4477211796246649,0.33703329969727547,0.3845710995970063,0.8238879736408566,746,0.12289950576606261,334,412,657,4667,lightgbm (cpu),14131085.6,141310.856
0.35,0.44537815126050423,0.32088799192734613,0.37302052785923756,0.8238879736408566,714,0.11762767710049424,318,396,673,4683,lightgbm (cpu),14180055.2,141800.552
0.36,0.4526627218934911,0.3087790110998991,0.367126574685063,0.8261943986820428,676,0.11136738056013179,306,370,685,4709,lightgbm (cpu),14202740.4,142027.404
0.37,0.44891640866873067,0.29263370332996974,0.354306658521686,0.8258649093904448,646,0.10642504118616145,290,356,701,4723,lightgbm (cpu),14253716.0,142537.16
0.38,0.461038961038961,0.2865792129162462,0.35345364032358434,0.828830313014827,616,0.1014827018121911,284,332,707,4747,lightgbm (cpu),14254025.6,142540.256
0.39,0.4691780821917808,0.27648839556004035,0.34793650793650793,0.8308072487644151,584,0.09621087314662273,274,310,717,4769,lightgbm (cpu),14272595.6,142725.956
0.4,0.47602131438721135,0.2704339051463169,0.34491634491634493,0.8322899505766063,563,0.0927512355848435,268,295,723,4784,lightgbm (cpu),14281932.2,142819.322
0.41,0.48582230623818523,0.2593340060544904,0.3381578947368421,0.8342668863261944,529,0.0871499176276771,257,272,734,4807,lightgbm (cpu),14303562.8,143035.628
0.42,0.4969939879759519,0.25025227043390513,0.33288590604026846,0.8362438220757825,499,0.08220757825370675,248,251,743,4828,lightgbm (cpu),14319072.2,143190.72199999998
0.43,0.5051975051975052,0.24520686175580222,0.33016304347826086,0.8375617792421747,481,0.07924217462932455,243,238,748,4841,lightgbm (cpu),14326351.2,143263.512
0.44,0.5099337748344371,0.2330978809283552,0.31994459833795014,0.8382207578253706,453,0.07462932454695223,231,222,760,4857,lightgbm (cpu),14359066.4,143590.664
0.45,0.5169300225733634,0.23107971745711403,0.3193863319386332,0.8392092257001648,443,0.07298187808896212,229,214,762,4865,lightgbm (cpu),14359169.6,143591.696
0.46,0.5277108433734939,0.2209889001009082,0.31152204836415365,0.8405271828665568,415,0.06836902800658978,219,196,772,4883,lightgbm (cpu),14381751.6,143817.516
0.47,0.5265822784810127,0.20988900100908173,0.30014430014430016,0.8401976935749588,395,0.06507413509060955,208,187,783,4892,lightgbm (cpu),14417424.2,144174.242
0.48,0.5352480417754569,0.20686175580222,0.29839883551673946,0.8411861614497529,383,0.06309719934102141,205,178,786,4901,lightgbm (cpu),14420588.0,144205.88
0.49,0.5327868852459017,0.19677093844601412,0.28739867354458365,0.8406919275123559,366,0.06029654036243822,195,171,796,4908,lightgbm (cpu),14454203.0,144542.03
0.5,0.5380281690140845,0.1927346115035318,0.2838038632986627,0.8411861614497529,355,0.05848434925864909,191,164,800,4915,lightgbm (cpu),14463436.4,144634.364
0.51,0.5368731563421829,0.18365287588294651,0.2736842105263158,0.8408566721581548,339,0.05584843492586491,182,157,809,4922,lightgbm (cpu),14492987.8,144929.878
0.52,0.54858934169279,0.17658930373360243,0.26717557251908397,0.841845140032949,319,0.05255354200988468,175,144,816,4935,lightgbm (cpu),14508394.0,145083.94
0.53,0.5501618122977346,0.1715438950554995,0.26153846153846155,0.841845140032949,309,0.05090609555189456,170,139,821,4940,lightgbm (cpu),14523697.0,145236.97
0.54,0.56,0.16952573158425832,0.26026336173508907,0.842668863261944,300,0.04942339373970346,168,132,823,4947,lightgbm (cpu),14524803.2,145248.032
